FIRM,ASSETS TENDERS,FUEL TENDERS,EVENT TENDERS,TENANCY TENDERS,FOOD TENDERS,CONSTRUCTION TENDERS,ADVERTISEMENT TENDERS,SERVICES TENDERS,CONSUMABLES EDUCATION TENDERS,CONSUMABLES GENERAL TENDERS,CONSUMABLES HEALTH TENDERS,TRANSPORTATION TENDERS
COM_32154,25,0,2,0,23,0,0,17,2,16,0,0
COM_27836,0,0,0,0,0,0,0,4,0,20,9,0
COM_27530,0,0,0,0,0,0,0,10,0,8,16,0
COM_36750,2,0,0,0,0,0,0,3,0,21,25,0
COM_27296,0,0,0,1,0,1,0,15,0,0,0,0
COM_26524,5,0,0,0,2,0,0,1,1,17,26,0
COM_41239,18,0,1,0,15,1,0,10,0,24,11,0
COM_30513,2,0,0,2,0,1,0,6,0,0,0,0
COM_34383,35,0,0,0,5,0,0,25,0,65,167,0
COM_29952,154,0,6,0,5,40,0,20,12,39,0,0
COM_30057,60,0,1,0,1,61,0,24,4,17,0,0
COM_31551,22,0,1,0,30,3,1,20,0,35,0,0
COM_31224,1,0,0,0,0,13,0,2,0,0,0,0
COM_30988,1,0,0,0,0,5,0,17,0,0,0,0
COM_34136,1,0,4,2,0,74,0,81,0,0,0,0
COM_43232,6,0,0,0,0,9,0,26,0,0,0,0
COM_32687,0,0,1,0,16,0,0,5,1,15,0,0
COM_33363,27,0,1,0,76,5,1,30,0,18,0,0
COM_33734,39,0,2,0,59,8,2,39,7,50,0,0
COM_33757,6,0,0,0,4,3,0,2,0,11,2,0
COM_28997,4,0,2,1,0,1,0,25,0,0,0,0
COM_29932,3,0,0,0,0,16,0,6,0,0,0,0
COM_29166,30,0,2,0,44,0,0,10,6,27,1,0
COM_29514,1,0,0,0,48,0,0,9,0,6,0,0
COM_48030,36,1,2,0,20,13,2,35,9,28,0,0
COM_29112,0,0,0,0,0,0,0,5,0,0,0,0
COM_27926,2,0,1,0,0,21,0,57,0,0,0,0
COM_31474,10,0,4,4,0,34,0,71,0,1,0,0
